	level_0	index	font-family	font-size	color	left	top	language	text	innerWidth	innerHeight	link	boxID	width	manga	page_width	page_height	id	font-weight	margin	text-align	-webkit-writing-mode	-webkit-text-orientation
0	0	0	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	641.0	676.0	jp	"あ〜っ
すごい"	64	72	https://bilingualmanga.com/manga/doraemon-long-stories/chapter-1/1-2	0		Doraemon_Long_Stories	800	1257	0					
1	1	1	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	410.0	669.0	jp	"みて
みて！
あれ"	90	72	https://bilingualmanga.com/manga/doraemon-long-stories/chapter-1/1-2	1		Doraemon_Long_Stories	800	1257	0					
2	2	2	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	286.0	977.0	jp	"ラジコン
だよ"	64	92	https://bilingualmanga.com/manga/doraemon-long-stories/chapter-1/1-2	2		Doraemon_Long_Stories	800	1257	0					
3	3	3	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	144.0	668.0	jp	"あんなの
売
う
って
ないわよ"	100	92	https://bilingualmanga.com/manga/doraemon-long-stories/chapter-1/1-2	3		Doraemon_Long_Stories	800	1257	0					
4	4	4	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	34.0	668.0	jp	"作
つく
った
んだろ"	74	72	https://bilingualmanga.com/manga/doraemon-long-stories/chapter-1/1-2	4		Doraemon_Long_Stories	800	1257	0					
5	5	5	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	35.0	930.0	jp	"スネ
夫
お
の
いとこに
模
も
型
けい
作
づく
りの
天
てん
才
さい
が
いるんだ"	208	92	https://bilingualmanga.com/manga/doraemon-long-stories/chapter-1/1-2	5		Doraemon_Long_Stories	800	1257	0					
6	0	6	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	613.0	684.0	en	AH, THAT'S AWESOME!	108	50	https://bilingualmanga.com/manga/doraemon-long-stories/chapter-1/1-2	0	108.0	Doraemon_Long_Stories	800	1257	0					
7	1	7	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	409.0	677.0	en	LOOK AT THAT!	105	50	https://bilingualmanga.com/manga/doraemon-long-stories/chapter-1/1-2	1	105.0	Doraemon_Long_Stories	800	1257	0					
8	2	8	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	141.0	676.0	en	"ISN'T IT 
A RADIO CONTROL?"	105	69	https://bilingualmanga.com/manga/doraemon-long-stories/chapter-1/1-2	3	105.0	Doraemon_Long_Stories	800	1257	0					
9	3	9	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	24.0	655.0	en	BUT I NEVER SAW ONE LIKE THAT	98	107	https://bilingualmanga.com/manga/doraemon-long-stories/chapter-1/1-2	4	98.0	Doraemon_Long_Stories	800	1257	0					
